iter	Logloss
0	0.6800958893
1	0.6694313199
2	0.6579815433
3	0.6486676699
4	0.6393237777
5	0.6305329774
6	0.6212640112
7	0.611447862
8	0.6034202086
9	0.5952538436
10	0.5881333929
11	0.5809848094
12	0.5740123175
13	0.5681836806
14	0.5621609396
15	0.5567235525
16	0.5511428924
17	0.5460285699
18	0.5407598174
19	0.5363146717
20	0.5313645719
21	0.5268203207
22	0.5224537487
23	0.5185455876
24	0.5148456842
25	0.5110315449
26	0.5074624578
27	0.5039938876
28	0.5001327449
29	0.4965629934
30	0.4934354508
31	0.4907133535
32	0.4879932314
33	0.4844606997
34	0.4816970165
35	0.4798613489
36	0.4773574066
37	0.4753236063
38	0.4730285582
39	0.4708702352
40	0.4688870797
41	0.4669077612
42	0.4648083114
43	0.4628718837
44	0.461066093
45	0.4595057055
46	0.4584293419
47	0.4563276654
48	0.4548187976
49	0.4530735225
50	0.4514344991
51	0.4499184626
52	0.4484929632
53	0.4467760885
54	0.4455268529
55	0.4436516537
56	0.4422859757
57	0.4408884842
58	0.4395939812
59	0.4379468321
60	0.4367919751
61	0.435098517
62	0.4335670818
63	0.4325290183
64	0.4315337487
65	0.4303770243
66	0.4293224475
67	0.4282247154
68	0.427335232
69	0.4268708568
70	0.4259524648
71	0.4250718952
72	0.4241264452
73	0.4231983011
74	0.4223175957
75	0.421585255
76	0.4206700546
77	0.419932794
78	0.4191493139
79	0.418329316
80	0.4174237457
81	0.4166700562
82	0.416084493
83	0.4155114337
84	0.4147696291
85	0.4141931734
86	0.4134612736
87	0.412773765
88	0.4121741498
89	0.4116291769
90	0.4110747118
91	0.4104702238
92	0.4098123237
93	0.4093749867
94	0.4087751001
95	0.4083464612
96	0.4077535915
97	0.4072707945
98	0.4065442474
99	0.4058629894
100	0.4053774016
101	0.4049671337
102	0.4044951556
103	0.4037337797
104	0.4032702983
105	0.4029798445
106	0.4026394212
107	0.4020769376
108	0.4014300892
109	0.4008372223
110	0.4004027401
111	0.3998884656
112	0.3996230352
113	0.3993053495
114	0.3987425009
115	0.3983839335
116	0.3979943351
117	0.3976596433
118	0.3973218279
119	0.3969008299
120	0.3965045919
121	0.3961639009
122	0.3958187058
123	0.3954021375
124	0.394993062
125	0.3944738498
126	0.3939660411
127	0.3935193069
128	0.3930268744
129	0.3926317033
130	0.3922139668
131	0.3918649524
132	0.3914010219
133	0.3910554154
134	0.390664826
135	0.390239264
136	0.3900943798
137	0.3898974248
138	0.3894054566
139	0.3890491371
140	0.3887585135
141	0.3884365822
142	0.3881268376
143	0.3877830226
144	0.3874885495
145	0.3871528936
146	0.3868931398
147	0.3865479293
148	0.3861862523
149	0.3859313052
150	0.385741358
151	0.385515279
152	0.3850685928
153	0.3846762434
154	0.3844628546
155	0.3842427518
156	0.3839720288
157	0.3837132392
158	0.383561993
159	0.3832103343
160	0.382920568
161	0.3825500959
162	0.3823706314
163	0.3821058633
164	0.3819055745
165	0.3816855808
166	0.3814550293
167	0.3809426599
168	0.3805548068
169	0.3802140598
170	0.3799272229
171	0.3796718843
172	0.3794328807
173	0.3791893366
174	0.3790157425
175	0.3788258575
176	0.3786496944
177	0.3784613156
178	0.3781604125
179	0.3779308039
180	0.3776961996
181	0.3774463625
182	0.3772588183
183	0.3770137814
184	0.3766584918
185	0.3763913593
186	0.3759797702
187	0.3755189459
188	0.3753255376
189	0.3750591801
190	0.3747104592
191	0.3745256876
192	0.3742656064
193	0.3739147636
194	0.3736525991
195	0.3732589273
196	0.372956488
197	0.3726618467
198	0.3724362056
199	0.3721693123
200	0.3720315332
201	0.3716264768
202	0.3713772794
203	0.37113569
204	0.3708679159
205	0.3705935985
206	0.3702823764
207	0.3701000031
208	0.3698323756
209	0.3695145115
210	0.3692289609
211	0.3690381122
212	0.3688341227
213	0.3684191972
214	0.36817267
215	0.3678695173
216	0.3676121016
217	0.3674776468
218	0.3671455111
219	0.3667886327
220	0.3663905415
221	0.3662116838
222	0.3660146079
223	0.3657622161
224	0.3656445575
225	0.3654372373
226	0.3652653629
227	0.365083392
228	0.364826826
229	0.3646072684
230	0.3644259235
231	0.3641940581
232	0.3638762737
233	0.3636557208
234	0.3634586859
235	0.3632318807
236	0.3630837509
237	0.3627706288
238	0.3625760427
239	0.3623204968
240	0.3621516577
241	0.3618783861
242	0.361658928
243	0.3614682449
244	0.3612889615
245	0.3610458544
246	0.3609102568
247	0.3606340097
248	0.3603909513
249	0.360210452
250	0.360046935
251	0.3597669471
252	0.3594385151
253	0.3592926484
254	0.3591294866
255	0.3589489102
256	0.358708507
257	0.358408005
258	0.3582284816
259	0.3580080273
260	0.3578194526
261	0.3575512806
262	0.3573915449
263	0.3572219367
264	0.3570578346
265	0.3568201234
266	0.3566058644
267	0.35647151
268	0.3562428946
269	0.3560995062
270	0.3557859236
271	0.3555458881
272	0.3553890258
273	0.3551475207
274	0.3549904497
275	0.3546636848
276	0.3543575578
277	0.3541467329
278	0.3539156758
279	0.3537292852
280	0.3535703881
281	0.3533536831
282	0.3531002849
283	0.352854923
284	0.3526378646
285	0.3524644893
286	0.3521749524
287	0.3519646884
288	0.3516966515
289	0.3514729444
290	0.351236619
291	0.3509578129
292	0.3508051085
293	0.3505964992
294	0.3504257582
